estado,integridad_nodo,ruta,ecosistema,municipio,nomenclatura_nodo,labeled,ecosistema_str,coord_longitud,cumulo,estado_str,fecha_foto,coord_latitud,ultima_modificacion,id,municipio_str
Chiapas,Integro,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/2880c0d9d7c71b36a79924f5fe1b825f_0065.JPG,Selvas humedas,Ocosingo,3_92_1_1338,true,Selvas humedas,-90.9086,92,Chiapas,2021-08-17T02:42:10Z,16.1619,2023-04-01T03:25:25.848Z,30e1742d-889c-4250-b1ae-2076766572cd,Ocosingo
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/4eb31420d7318879fe258eb092991528_0199.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-17T09:52:19Z,31.2639,2023-04-01T03:23:59.906Z,e9cb76ff-80c2-4a5a-ae81-e0718ff7d00d,Municipio de Agua Prieta
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/730e20e1169b1d90f8384dc94ff6d7e2_0200.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-17T09:52:20Z,31.2639,2023-04-01T03:24:00.867Z,01f6b5c4-0717-45dc-9709-dc78c904268d,Municipio de Agua Prieta
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/5808d94e313d1a60633208f0313b2ca7_0203.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-17T10:39:40Z,31.2639,2023-04-01T03:23:59.583Z,bc827816-887a-4939-be89-54254a8e8a12,Municipio de Agua Prieta
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/a13fcdc5188d1816a215bf7822b51d8e_0202.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-17T10:39:39Z,31.2639,2023-04-01T03:24:25.464Z,c826e9b7-7c10-4ac9-ad9d-da6e09cc6d45,Municipio de Agua Prieta
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/2b840f9841a508fa43c9dd7020f970d7_0065.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8138,92,Chiapas,2021-08-17T04:23:45Z,16.1566,2023-04-01T03:27:44.943Z,d5e9427c-b9a4-4df2-b8c3-b283bd00f2e6,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09048271/2021-07-29/images_videos/ec9a473a38c3fd4e71cae2cc5b63b8fc_0140.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8124,92,Chiapas,2021-08-17T04:57:08Z,16.1517,2023-04-01T03:25:21.282Z,38b3e8f6-323c-4ea3-88c8-d92c7ca37b72,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/05d81b15bbac7a9d000504a35e8ee22a_0064.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8138,92,Chiapas,2021-08-17T04:23:44Z,16.1566,2023-04-01T03:27:44.852Z,8d6e87d0-54a9-46f4-868f-25e327664f8b,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09048271/2021-07-29/images_videos/d9a9bba16953d80b535e6bb58496bae5_0139.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8124,92,Chiapas,2021-08-17T04:57:07Z,16.1517,2023-04-01T03:25:21.388Z,47e0386a-f41a-4f28-8572-925e7138b00b,Marqués de Comillas
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/c70d090a55cfd2a1a4f659129e58637c_0121.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-17T07:58:26Z,18.0967,2023-04-01T03:24:37.268Z,4da9340a-5338-4d1d-b962-9d723555a1cd,Palizada
